Week,Timestep,U1,U2,U3,U4,MU,RBM,RSDU,Total extended time,Stage,Rescheduling
164,73,0.8804347826086957,0.7608695652173914,0.8804347826086957,0.8369565217391305,0.8396739130434783,1.0485436893203883,0.06716022617593691,14,2,False
164,34,0.9418604651162791,0.7790697674418605,0.9069767441860465,0.8255813953488372,0.8633720930232558,1.090909090909091,0.08614967929246008,2,1,False
164,18,0.8617021276595744,0.7553191489361702,0.8723404255319149,0.8404255319148937,0.8324468085106383,1.0479233226837061,0.06379117841053007,18,2,False
164,25,0.8709677419354839,0.7634408602150538,0.8924731182795699,0.8387096774193549,0.8413978494623656,1.060702875399361,0.06711800322295518,18,2,False
164,35,0.8617021276595744,0.7553191489361702,0.8829787234042553,0.8404255319148937,0.8351063829787234,1.0573248407643312,0.06700523922742885,19,2,False
164,50,0.8804347826086957,0.7717391304347826,0.9239130434782609,0.7934782608695652,0.8423913043478262,1.096774193548387,0.0852654950606409,15,2,False
164,59,0.8804347826086957,0.7717391304347826,0.9239130434782609,0.7934782608695652,0.8423913043478262,1.096774193548387,0.0852654950606409,15,2,False
164,75,0.8804347826086957,0.7608695652173914,0.8478260869565217,0.8369565217391305,0.8315217391304347,1.058823529411765,0.06084636184648775,11,2,False
164,81,0.8804347826086957,0.7608695652173914,0.8478260869565217,0.8369565217391305,0.8315217391304347,1.058823529411765,0.06084636184648775,11,2,False
164,41,0.9418604651162791,0.7790697674418605,0.9069767441860465,0.8255813953488372,0.8633720930232558,1.090909090909091,0.08614967929246008,2,1,False
164,51,0.9418604651162791,0.7790697674418605,0.9069767441860465,0.8255813953488372,0.8633720930232558,1.090909090909091,0.08614967929246008,2,1,False
164,66,0.9529411764705882,0.8117647058823529,0.9176470588235294,0.8,0.8705882352941177,1.0945945945945945,0.08757757700551155,1,1,False
165,-1,0.6742424242424242,0.7196969696969697,0.946969696969697,0.4621212121212121,0.7007575757575757,1.3513513513513515,0.2837709134790636,0,0,False
165,15,0.6742424242424242,0.75,0.946969696969697,0.4621212121212121,0.7083333333333333,1.3368983957219254,0.2829006732904204,4,1,False
165,37,0.6742424242424242,0.75,0.946969696969697,0.4621212121212121,0.7083333333333333,1.3368983957219254,0.2829006732904204,4,1,False
165,89,0.6742424242424242,0.7348484848484849,0.946969696969697,0.4621212121212121,0.7045454545454546,1.3440860215053763,0.2831314359588746,2,1,False
165,21,0.644927536231884,0.7318840579710145,0.9492753623188406,0.4420289855072464,0.6920289855072465,1.3717277486910993,0.3036649214659686,12,2,False
165,50,0.644927536231884,0.7318840579710145,0.9492753623188406,0.4420289855072464,0.6920289855072465,1.3717277486910993,0.3036649214659686,12,2,False
165,54,0.644927536231884,0.7318840579710145,0.9492753623188406,0.4420289855072464,0.6920289855072465,1.3717277486910993,0.3036649214659686,12,2,False
165,71,0.644927536231884,0.7318840579710145,0.9492753623188406,0.4420289855072464,0.6920289855072465,1.3717277486910993,0.3036649214659686,12,2,False
165,81,0.644927536231884,0.7318840579710145,0.9492753623188406,0.4420289855072464,0.6920289855072465,1.3717277486910993,0.3036649214659686,12,2,False
165,117,0.644927536231884,0.7246376811594203,0.9492753623188406,0.4420289855072464,0.6902173913043478,1.3753280839895015,0.30384285566268987,11,2,False
165,30,0.6742424242424242,0.7651515151515151,0.946969696969697,0.5151515151515151,0.725378787878788,1.3054830287206265,0.2485222774786589,13,2,False
165,34,0.6742424242424242,0.7651515151515151,0.946969696969697,0.5151515151515151,0.725378787878788,1.3054830287206265,0.2485222774786589,13,2,False
165,37,0.6742424242424242,0.7651515151515151,0.946969696969697,0.5,0.7215909090909092,1.3123359580052492,0.2580734604363644,11,2,False
165,53,0.6742424242424242,0.7651515151515151,0.946969696969697,0.5,0.7215909090909092,1.3123359580052492,0.2580734604363644,11,2,False
165,10,0.6742424242424242,0.75,0.946969696969697,0.4621212121212121,0.7083333333333333,1.3368983957219254,0.2829006732904204,4,1,False
165,16,0.6742424242424242,0.75,0.946969696969697,0.4621212121212121,0.7083333333333333,1.3368983957219254,0.2829006732904204,4,1,False
165,17,0.6742424242424242,0.75,0.946969696969697,0.4621212121212121,0.7083333333333333,1.3368983957219254,0.2829006732904204,4,1,False
166,-1,0.7452830188679245,0.8018867924528302,0.9339622641509434,0.6320754716981132,0.7783018867924529,1.2,0.1612622387351524,0,0,False
166,25,0.7452830188679245,0.839622641509434,0.9339622641509434,0.6320754716981132,0.7877358490566038,1.18562874251497,0.16406165738949718,4,1,False
166,28,0.7452830188679245,0.839622641509434,0.9339622641509434,0.6320754716981132,0.7877358490566038,1.18562874251497,0.16406165738949718,4,1,False
166,32,0.7452830188679245,0.839622641509434,0.9339622641509434,0.6320754716981132,0.7877358490566038,1.18562874251497,0.16406165738949718,4,1,False
166,38,0.7452830188679245,0.839622641509434,0.9339622641509434,0.6320754716981132,0.7877358490566038,1.18562874251497,0.16406165738949718,4,1,False
166,71,0.7452830188679245,0.839622641509434,0.9339622641509434,0.6320754716981132,0.7877358490566038,1.18562874251497,0.16406165738949718,4,1,False
166,14,0.7452830188679245,0.839622641509434,0.9339622641509434,0.660377358490566,0.794811320754717,1.175074183976261,0.14868413391979074,7,1,False
166,9,0.7053571428571429,0.8125,0.9375,0.5982142857142857,0.7633928571428571,1.2280701754385965,0.19039556252748194,12,2,False
166,19,0.7053571428571429,0.8125,0.9375,0.5982142857142857,0.7633928571428571,1.2280701754385965,0.19039556252748194,12,2,False
166,23,0.7053571428571429,0.8125,0.9375,0.5982142857142857,0.7633928571428571,1.2280701754385965,0.19039556252748194,12,2,False
