Week,Timestep,MU,RBM,RSDU,Total extended time,Rescheduling,Original _ extended,Ori-timestep
32,-1.19239829,0.807971014,1.112107623,0.100805473,-0.700662659,FALSE,22,7
32,0.237963922,0.826388889,1.092436975,0.063629225,0.061063238,FALSE,37,32
32,0.581250853,0.820512821,1.109375,0.082679728,0.975134315,FALSE,55,38
32,0.867323295,0.804878049,1.136363636,0.09421595,1.381388127,FALSE,63,43
32,0.981752272,0.839506173,1.088235294,0.068976702,1.787641938,FALSE,71,45
32,1.725540623,0.838068182,1.084745763,0.06201321,2.955621648,FALSE,94,58
33,-1.59289971,0.781818182,1.11627907,0.098666062,-1.310043377,FALSE,10,0
33,-1.478470733,0.780701754,1.078651685,0.059455086,-1.005353018,FALSE,16,2
33,-1.077969313,0.781746032,1.137055838,0.107920262,-0.040500215,FALSE,35,9
33,-1.020754825,0.794354839,1.096446701,0.067087065,-0.040500215,TRUE,35,10
33,0.237963922,0.793918919,1.140425532,0.100579279,1.889205391,FALSE,73,32
33,0.409607387,0.792763158,1.145228216,0.117655161,2.19389575,FALSE,79,35
34,-1.249612779,0.754807692,1.146496815,0.11836399,-1.614733736,TRUE,4,6
34,-0.963540336,0.745535714,1.173652695,0.119560712,-1.106916471,FALSE,14,11
34,0.237963922,0.763888889,1.139393939,0.097724336,-1.208479924,TRUE,12,32
34,0.352392899,0.777272727,1.099415205,0.07241394,-0.903789565,TRUE,18,34
34,0.752894318,0.773809524,1.148717949,0.101013926,0.31497187,FALSE,42,41
34,0.810108807,0.788461538,1.112195122,0.081819484,0.822789135,FALSE,52,42
34,1.038966761,0.802419355,1.085427136,0.068410646,0.518098776,TRUE,46,46
35,-0.963540336,0.792857143,1.135135135,0.126126126,-0.345190574,FALSE,29,11
35,-0.791896871,0.799295775,1.127753304,0.104123923,-0.091281941,FALSE,34,14
35,0.009105968,0.820422535,1.098712446,0.073339088,0.213408417,FALSE,40,28
35,0.066320456,0.829861111,1.071129707,0.049976214,0.518098776,FALSE,46,29
35,0.638465341,0.776666667,1.115879828,0.115055618,0.213408417,TRUE,40,39
35,0.867323295,0.81,1.119341564,0.114341103,0.721225682,TRUE,50,43
36,-1.306827267,0.765384615,1.165829146,0.186675132,-1.056134745,FALSE,15,5
36,0.924537784,0.776515152,1.112195122,0.129796436,-0.751444386,FALSE,21,44
36,1.267824715,0.779850746,1.148325359,0.14096574,-0.54831748,FALSE,25,50
36,1.725540623,0.813432836,1.100917431,0.087996909,-0.091281941,FALSE,34,58
37,-1.59289971,0.725,1.186206897,0.161444137,-1.310043377,FALSE,10,0
37,-1.077969313,0.779411765,1.081761006,0.07512148,-0.599099206,FALSE,24,9
37,-1.020754825,0.762931034,1.152542373,0.158057516,0.31497187,FALSE,42,10
37,-0.734682382,0.780172414,1.127071823,0.130586357,0.518098776,FALSE,46,15
37,0.180749433,0.753787879,1.185929648,0.177807096,1.432169853,FALSE,64,31
37,0.810108807,0.726351351,1.246511628,0.223965281,2.244677477,FALSE,80,42
38,-1.306827267,0.733050847,1.086705202,0.066411129,-0.903789565,FALSE,18,5
38,-1.249612779,0.766949153,1.149171271,0.105793051,-0.497535753,FALSE,26,6
38,-0.620253405,0.775862069,1.133333333,0.096010973,-0.54831748,TRUE,25,17
38,0.352392899,0.78968254,1.105527638,0.085869384,0.416535323,FALSE,44,34
38,0.581250853,0.787313433,1.137440758,0.103110072,1.025916041,FALSE,56,38
38,1.038966761,0.820895522,1.090909091,0.064709565,1.48295158,FALSE,65,46
39,-1.19239829,0.768656716,1.165048544,0.131217702,-1.208479924,FALSE,12,7
39,0.237963922,0.835820896,1.071428571,0.07290148,-0.294408847,FALSE,30,32
39,0.466821876,0.801369863,1.128205128,0.099184588,0.213408417,FALSE,40,36
39,0.752894318,0.840277778,1.074380165,0.056457029,0.619662229,FALSE,48,41
39,1.43946818,0.822368421,1.04,0.030637667,1.025916041,FALSE,56,53
39,1.553897157,0.823717949,1.105058366,0.083695283,1.381388127,FALSE,63,55
40,-1.077969313,0.775362319,1.158878505,0.136929975,-1.056134745,FALSE,15,9
40,-0.391395452,0.816901408,1.068965517,0.046689876,-0.142063668,FALSE,33,21
40,-0.219751986,0.806666667,1.123966942,0.09002829,0.365753597,FALSE,43,24
40,-0.105323009,0.798701299,1.138211382,0.104958898,0.568880503,FALSE,47,26
41,-1.249612779,0.779850746,1.148325359,0.14096574,-0.853007839,FALSE,19,6
41,0.180749433,0.805147059,1.059360731,0.060347725,-0.345190574,FALSE,29,31
41,1.325039203,0.825,1.090909091,0.065366532,0.264190144,FALSE,41,51
41,1.839969599,0.814189189,1.112033195,0.097134439,0.772007409,FALSE,51,60
42,-1.077969313,0.797619048,1.094527363,0.071521919,-0.954571292,FALSE,17,9
42,-0.219751986,0.80859375,1.101449275,0.07294526,-0.649880933,FALSE,23,24
42,0.237963922,0.789285714,1.140271493,0.125723475,0.061063238,FALSE,37,32
42,1.611111646,0.835714286,1.076923077,0.06319394,0.721225682,FALSE,50,56
43,-0.849111359,0.754464286,1.112426036,0.130177515,-1.513170283,FALSE,6,13
43,-0.105323009,0.78125,1.097142857,0.101149852,-1.208479924,FALSE,12,26
43,0.180749433,0.77016129,1.151832461,0.112616166,-0.3959723,FALSE,28,31
43,1.038966761,0.77173913,1.070422535,0.081677548,0.721225682,FALSE,50,46
44,-1.59289971,0.754098361,1.173913043,0.165560285,-1.41160683,FALSE,8,0
44,-1.306827267,0.803278689,1.163265306,0.165796702,-0.802226112,TRUE,20,5
44,1.038966761,0.787313433,1.137440758,0.093354102,-0.040500215,FALSE,35,46
44,1.43946818,0.819230769,1.145539906,0.144958199,0.061063238,TRUE,37,53
45,-0.334180963,0.764084507,1.179723502,0.143869364,-1.208479924,FALSE,12,22
45,-0.048108521,0.795774648,1.132743363,0.096401974,-0.751444386,FALSE,21,27
45,1.153395738,0.792763158,1.062240664,0.049561474,0.010281512,FALSE,36,48
45,1.611111646,0.811688312,1.12,0.081059649,0.46731705,FALSE,45,56
46,-1.135183802,0.784615385,1.117647059,0.135847122,-1.259261651,FALSE,11,8
46,-0.162537498,0.814393939,1.060465116,0.059563946,-0.700662659,FALSE,22,25
46,0.009105968,0.822463768,1.074889868,0.064943743,-0.091281941,FALSE,34,28
46,1.325039203,0.820422535,1.081545064,0.083369398,0.213408417,FALSE,40,51
46,1.43946818,0.845890411,1.052631579,0.048357552,0.924352588,FALSE,54,53
46,1.782755111,0.842948718,1.064638783,0.067305034,1.736860212,FALSE,70,59
47,-1.478470733,0.824675325,1.149606299,0.157742564,-1.360825104,FALSE,9,2
47,-0.105323009,0.817073171,1.119402985,0.126645991,-0.649880933,FALSE,23,26
47,1.210610226,0.841463415,1.086956522,0.091660222,-0.243627121,FALSE,31,49
47,1.954398576,0.81741573,1.058419244,0.057639155,0.518098776,FALSE,46,62
48,-1.077969313,0.821428571,1.165217391,0.16891365,-1.259261651,FALSE,11,9
